enq_qdepth1,deq_timedelta1,deq_qdepth1, enq_qdepth2, deq_timedelta2, deq_qdepth2,enq_qdepth3,deq_timedelta3,deq_qdepth3,Buffer,ReportedBitrate,FPS,CalcBitrate,q_size
16.0,2693.0,2.0,0.0,45.0,0.0,0.0,85.0,0.0,6.239,1867.0,24.0,68809.0,0.0
0.0,433.0,0.0,0.0,67.0,0.0,0.0,44.0,0.0,5.264,639.0,18.0,68934.0,0.0
0.0,201.0,0.0,0.0,45.0,0.0,0.0,42.0,0.0,4.379,639.0,18.0,69039.0,0.0
2.0,4325.0,11.0,0.0,53.0,0.0,0.0,57.0,0.0,7.317,639.0,18.0,69199.0,0.0
2.0,1064.0,0.0,0.0,53.0,0.0,0.0,54.0,0.0,13.46,639.0,18.0,69437.0,0.0
6.0,4810.0,12.0,0.0,54.0,0.0,0.0,69.0,0.0,12.394,639.0,18.0,69548.0,0.0
0.0,1816.0,1.0,0.0,62.0,0.0,0.0,79.0,0.0,11.332,639.0,18.0,69658.0,0.0
0.0,2519.0,3.0,0.0,44.0,0.0,0.0,57.0,0.0,13.259,639.0,18.0,69879.0,0.0
2.0,693.0,2.0,0.0,55.0,0.0,0.0,50.0,0.0,12.408,639.0,18.0,69997.0,0.0
0.0,554.0,2.0,0.0,41.0,0.0,0.0,67.0,0.0,11.346,639.0,18.0,70111.0,0.0
0.0,189.0,0.0,0.0,56.0,0.0,0.0,55.0,0.0,10.283,639.0,18.0,70215.0,0.0
6.0,4707.0,9.0,0.0,49.0,0.0,0.0,69.0,0.0,13.396,639.0,18.0,70336.0,0.0
0.0,665.0,0.0,0.0,48.0,0.0,0.0,57.0,0.0,12.435,639.0,18.0,70452.0,0.0
0.0,4114.0,1.0,0.0,49.0,0.0,0.0,77.0,0.0,11.375,639.0,18.0,70574.0,0.0
0.0,129.0,0.0,0.0,40.0,0.0,0.0,67.0,0.0,10.311,639.0,18.0,70678.0,0.0
7.0,1049.0,4.0,0.0,45.0,0.0,0.0,56.0,0.0,13.455,639.0,18.0,70791.0,0.0
2.0,2044.0,5.0,0.0,59.0,0.0,0.0,52.0,0.0,12.455,639.0,18.0,70910.0,0.0
8.0,2748.0,2.0,0.0,40.0,0.0,0.0,58.0,0.0,11.386,639.0,18.0,71026.0,0.0
1.0,3242.0,12.0,0.0,49.0,0.0,0.0,52.0,0.0,14.323,639.0,18.0,71153.0,0.0
2.0,2679.0,12.0,0.0,69.0,0.0,0.0,50.0,0.0,13.26,639.0,18.0,71293.0,0.0
9.0,2125.0,1.0,0.0,48.0,0.0,0.0,58.0,0.0,12.468,639.0,18.0,71400.0,0.0
6.0,3059.0,8.0,0.0,48.0,0.0,0.0,53.0,0.0,11.404,1867.0,24.0,71520.0,0.0
3.0,2632.0,6.0,0.0,58.0,0.0,0.0,70.0,0.0,10.345,1867.0,24.0,71659.0,0.0
